Data,Índice de Atividade Econômica do Banco Central (IBC-Br) (2002=100) - - - Banco Central do Brasil, Sistema Gerenciador de Séries Temporais (Bacen Outras/SGS) - SGS12_IBCBR12,
2003.01,96.15,
2003.02,98.67,
2003.03,103.41,
2003.04,102.19,
2003.05,100.3,
2003.06,98.58,
2003.07,103.05,
2003.08,101.47,
2003.09,102.87,
2003.10,105.06,
2003.11,101.95,
2003.12,99.74,
2004.01,98.59,
2004.02,99.45,
2004.03,111.98,
2004.04,107.36,
2004.05,106.03,
2004.06,107,
2004.07,111.47,
2004.08,110.65,
2004.09,109.21,
2004.10,108.89,
2004.11,109.59,
2004.12,107.56,
2005.01,103.52,
2005.02,104,
2005.03,115.42,
2005.04,112.35,
2005.05,110.86,
2005.06,111.5,
2005.07,113.15,
2005.08,115.15,
2005.09,110.95,
2005.10,111.33,
2005.11,111.73,
2005.12,111.25,
2006.01,108.55,
2006.02,107.8,
2006.03,119.09,
2006.04,112.61,
2006.05,117.19,
2006.06,114.4,
2006.07,119.41,
2006.08,121.06,
2006.09,116.21,
2006.10,119.33,
2006.11,118.67,
2006.12,116.3,
2007.01,114.79,
2007.02,113.33,
2007.03,125.11,
2007.04,120.29,
2007.05,123.9,
2007.06,122.38,
2007.07,127.85,
2007.08,129.05,
2007.09,123.24,
2007.10,129.17,
2007.11,125.88,
2007.12,122.43,
2008.01,121.86,
2008.02,121.91,
2008.03,128.99,
2008.04,129.48,
2008.05,128.92,
2008.06,130.59,
2008.07,136.53,
2008.08,133.87,
2008.09,132.6,
2008.10,132.8,
2008.11,124.58,
2008.12,118.9,
2009.01,115.2,
2009.02,115.26,
2009.03,127.81,
2009.04,123.09,
2009.05,124.41,
2009.06,125.61,
2009.07,131.44,
2009.08,130.7,
2009.09,129.81,
2009.10,132.48,
2009.11,129.62,
2009.12,129.23,
2010.01,125.81,
2010.02,127.61,
2010.03,143.44,
2010.04,136.87,
2010.05,136.52,
2010.06,136.09,
2010.07,141.64,
2010.08,141.55,
2010.09,139.46,
2010.10,139.33,
2010.11,139.68,
2010.12,136.69,
2011.01,132.66,
2011.02,136.18,
2011.03,144.93,
2011.04,139.89,
2011.05,143.23,
2011.06,141.75,
2011.07,145.19,
2011.08,147.51,
2011.09,142.3,
2011.10,142.02,
2011.11,141.87,
2011.12,139.23,
2012.01,133.34,
2012.02,135.35,
2012.03,146.35,
2012.04,139.85,
2012.05,144.56,
2012.06,142.28,
2012.07,147.46,
2012.08,149.91,
2012.09,141.6,
2012.10,147.71,
2012.11,144.15,
2012.12,139.52,
2013.01,139.32,
2013.02,136.14,
2013.03,148.01,
2013.04,149.79,
2013.05,147.03,
2013.06,144.87,
2013.07,152.13,
2013.08,151.81,
2013.09,147.27,
2013.10,151.9,
2013.11,147.79,
2013.12,145.77,
2014.01,142.72,
2014.02,143.53,
2014.03,149.03,
2014.04,147.69,
2014.05,147.14,
2014.06,140.88,
2014.07,149.85,
2014.08,148.27,
2014.09,148.12,
2014.10,149.7,
2014.11,144.92,
2014.12,145.48,
2015.01,138.91,
2015.02,136.87,
2015.03,150.11,
2015.04,142.86,
2015.05,141.45,
2015.06,141.04,
2015.07,145.91,
2015.08,143.01,
2015.09,140.39,
2015.10,141.18,
2015.11,136.55,
2015.12,133.32,
2016.01,127.92,
2016.02,130.42,
2016.03,140.51,
2016.04,135.68,
